           1           0        3957         397        1383        1876          96
  1   -0.11   -0.53     0.21  0.010    -5.87    -0.79     0.04     0.15 10090   -5.87   -0.74
  1    0.31    0.07     0.00  0.010     3.87     2.07     0.06     0.15 20045    3.94    2.07
  1   -0.57   -0.16     0.36  0.010     3.87     2.07     0.06     0.15 20045    3.94    2.07
  1   -0.47    0.09     0.21  0.010     3.87     2.07     0.06     0.15 20045    3.94    2.07
  2   -0.21   -0.08     0.08  0.006     1.41     1.10    -0.04     0.15 10007    1.36    1.06
  2    0.65    0.09    -0.11  0.006     1.41     1.10    -0.04     0.15 10007    1.36    1.06
  2   -0.05    0.35    -0.35  0.006     1.41     1.10    -0.04     0.15 10007    1.36    1.06
 -2    0.49   -0.58     0.40  0.006    -2.37     6.28     0.07     0.15 10010   -2.45    6.39
  2    0.35   -0.61     0.34  0.006    -2.37     6.28     0.07     0.15 10010   -2.45    6.39
 -1    0.21   -0.88    -0.48  0.010    -3.38     1.24    -0.03     0.15 20050   -3.43    1.35
  1    0.22   -0.08     0.21  0.010    -3.38     1.24    -0.03     0.15 20050   -3.43    1.35
 -2   -0.36    0.51    -0.17  0.006     3.80     1.99    -0.01     0.15 10152    3.79    1.98
 -2    0.17   -0.35    -0.04  0.006     3.80     1.99    -0.01     0.15 10152    3.79    1.98
 -1    0.24   -0.05     0.10  0.010     3.80     1.99    -0.01     0.15 10152    3.79    1.98
 -2   -1.08   -0.25     0.19  0.006     3.79     4.17     0.01     0.15 20027    3.91    4.20
  2    0.07    0.00    -0.15  0.006     3.79     4.17     0.01     0.15 20027    3.91    4.20
  2   -0.62   -0.76     0.03  0.006     0.68    -4.80     0.01     0.15 20086    0.73   -4.71
 -3    0.22   -0.03     0.06  0.199     0.68    -4.80     0.01     0.15 20086    0.73   -4.71
 -1    0.14    0.19     0.04  0.010     1.33     0.33     0.08     0.15 10137    1.31    0.39
 -1    0.20   -0.56     0.91  0.010     1.33     0.33     0.08     0.15 10137    1.31    0.39
 -2   -0.07   -0.36    -0.09  0.006     1.33     0.33     0.08     0.15 10137    1.31    0.39
 -2   -0.50    0.33     0.39  0.006     2.06    -2.59     0.04     0.16 10182    2.12   -2.70
  2    0.03    0.61    -0.09  0.006     2.06    -2.59     0.04     0.16 10182    2.12   -2.70
 -3   -0.40    0.16     0.01  0.199     0.89     5.96    -0.01     0.16 10099    0.95    6.01
 -1   -0.26   -0.12     0.09  0.010     0.89     5.96    -0.01     0.16 10099    0.95    6.01
 -2    0.20   -0.42    -0.17  0.006     0.89     5.96    -0.01     0.16 10099    0.95    6.01
  1    0.08    0.56     0.34  0.010    -2.61    -1.05     0.00     0.16 20003   -2.58   -1.15
 -3   -0.37    0.26    -0.33  0.199    -2.61    -1.05     0.00     0.16 20003   -2.58   -1.15
  3    0.20    0.19    -0.48  0.199     0.92    -0.10    -0.03     0.16 20005    0.92   -0.21
 -2   -0.23    0.65     0.21  0.006     0.92    -0.10    -0.03     0.16 20005    0.92   -0.21
  1    0.19   -0.26    -0.18  0.010    -0.29    -5.55     0.03     0.16 20094   -0.39   -5.58
 -1    0.68    0.48     0.39  0.010    -0.29    -5.55     0.03     0.16 20094   -0.39   -5.58
  1    0.04    0.03    -0.26  0.010     1.27     1.11    -0.04     0.16 20169    1.23    1.18
  2   -0.14   -0.16     0.27  0.006     1.27     1.11    -0.04     0.16 20169    1.23    1.18
  3    0.42   -0.44    -0.37  0.199     1.27     1.11    -0.04     0.16 20169    1.23    1.18
  2    0.13   -0.21     0.00  0.006     4.15     0.86     0.07     0.16 20023    4.19    0.82
  2   -0.34    0.66     0.15  0.006     4.15     0.86     0.07     0.16 20023    4.19    0.82
  2   -0.13   -0.06     0.47  0.006     4.15     0.86     0.07     0.16 20023    4.19    0.82
  2   -0.00   -0.30    -0.00  0.006     1.59    -5.38    -0.01     0.16 10120    1.62   -5.32
  1    0.13    0.25     0.10  0.010     1.59    -5.38    -0.01     0.16 10120    1.62   -5.32
  3   -0.40   -0.43    -0.18  0.199     1.59    -5.38    -0.01     0.16 10120    1.62   -5.32
  2   -0.20   -0.32    -0.26  0.006     4.02    -3.41    -0.06     0.16 20134    4.07   -3.42
  1   -0.52    0.16    -0.32  0.010     4.02    -3.41    -0.06     0.16 20134    4.07   -3.42
  1    0.24    0.25     0.04  0.010     4.02    -3.41    -0.06     0.16 20134    4.07   -3.42
 -2    0.14   -0.11     0.52  0.006    -2.26    -1.34     0.09     0.16 20012   -2.29   -1.27
 -1   -0.09   -0.10     0.64  0.010    -2.26    -1.34     0.09     0.16 20012   -2.29   -1.27
 -1    0.30   -0.61    -0.06  0.010    -2.26    -1.34     0.09     0.16 20012   -2.29   -1.27
  1   -0.20    0.24     0.14  0.010    -0.34     2.10    -0.01     0.16 10004   -0.35    2.11
  1    0.28   -0.02    -0.46  0.010    -0.34     2.10    -0.01     0.16 10004   -0.35    2.11
  1   -0.02   -0.28     0.23  0.010    -0.34     2.10    -0.01     0.16 10004   -0.35    2.11
 -2   -0.32    0.31     0.28  0.006     3.25    -3.26     0.05     0.16 10022    3.20   -3.33
  1    0.79    0.29     0.17  0.010     3.25    -3.26     0.05     0.16 10022    3.20   -3.33
  1   -0.22    0.26     0.15  0.010     3.26    -3.35     0.06     0.16 10022    3.20   -3.33
  1    0.49   -0.06     0.11  0.010     3.26    -3.35     0.06     0.16 10022    3.20   -3.33
  2    0.27   -0.41     0.31  0.006     3.26    -3.35     0.06     0.16 10022    3.20   -3.33
  2    0.53   -0.24    -0.86  0.006    -1.88    -1.29    -0.07     0.16 10125   -1.93   -1.26
  2    0.13    0.02     0.23  0.006    -1.88    -1.29    -0.07     0.16 10125   -1.93   -1.26
