           1        3957
 event,miss,iscat,jscat=           1           0          97          67
     1   -0.200    0.244      0.143  0.010    -0.34     2.10    -0.01     0.16
     1   -0.407    0.065     -0.221  0.010    -0.39     2.15    -0.05     0.19
     1   -0.037   -0.167      0.263  0.010    -0.36     2.13     0.00     0.19
 event,miss,iscat,jscat=           1           0         186          87
    -1   -0.939   -0.578      0.047  0.010     1.45     1.23     0.01     0.17
     2    0.647    0.093     -0.106  0.006     1.41     1.10    -0.04     0.15
    -1   -0.696   -0.916     -0.178  0.010     1.42     1.21     0.01     0.20
     2    0.403    0.431      0.118  0.006     1.45     1.11    -0.05     0.20
 event,miss,iscat,jscat=           1           0         114          86
     1    0.041    0.034     -0.256  0.010     1.27     1.11    -0.04     0.16
     2   -0.214   -0.075      0.081  0.006     1.41     1.10    -0.04     0.15
     1   -0.306   -0.038     -0.038  0.010     1.27     1.12    -0.08     0.20
     2    0.134   -0.004     -0.136  0.006     1.36     1.09    -0.02     0.20
 event,miss,iscat,jscat=           1           0         323         215
    -2   -0.192   -0.268      0.150  0.006     2.12    -4.28    -0.09     0.19
     2   -0.024   -0.259     -0.444  0.006     2.11    -4.27    -0.07     0.19
    -2   -0.037    0.130      0.000  0.006     2.11    -4.30    -0.08     0.20
     2   -0.180   -0.657     -0.294  0.006     2.11    -4.28    -0.08     0.20
 event,miss,iscat,jscat=           1           0         116          88
     3    0.423   -0.443     -0.371  0.199     1.27     1.11    -0.04     0.16
     2   -0.055    0.352     -0.355  0.006     1.41     1.10    -0.04     0.15
     3   -0.277    0.068     -0.256  0.199     1.29     1.09    -0.06     0.20
     2    0.646   -0.159     -0.469  0.006     1.40     1.14    -0.08     0.20
 event,miss,iscat,jscat=           1           0         425         326
     2    0.379   -0.074     -0.035  0.006     0.70     0.70     0.04     0.20
     1   -0.259   -0.219      0.251  0.010     0.74     0.76     0.10     0.19
     2    0.137    0.051      0.395  0.006     0.71     0.70     0.04     0.20
     1   -0.017   -0.344     -0.179  0.010     0.73     0.76     0.11     0.20
 event,miss,iscat,jscat=           1           0         303         185
     2   -0.521    0.085     -0.329  0.006     1.55     0.95    -0.09     0.18
     2    0.077    0.018     -0.007  0.006     1.45     1.23     0.01     0.17
     2    0.013   -0.107     -0.095  0.006     1.53     0.95    -0.10     0.21
     2   -0.458    0.210     -0.241  0.006     1.49     1.24     0.00     0.21
 event,miss,iscat,jscat=           1           0         362         304
     1    0.031   -0.125      0.193  0.010     1.33     1.13    -0.09     0.19
    -1   -0.038   -0.587     -0.728  0.010     1.62     1.19    -0.09     0.18
     1    0.361   -0.213     -0.220  0.010     1.33     1.12    -0.07     0.21
    -1   -0.367   -0.500     -0.314  0.010     1.61     1.18    -0.11     0.21
 event,miss,iscat,jscat=           1           0         322         214
    -1    0.079    0.222      0.001  0.010     2.12    -4.28    -0.09     0.19
     1    0.518    0.192     -0.489  0.010     2.12    -4.26    -0.06     0.17
    -1    0.125   -0.020     -0.267  0.010     2.13    -4.26    -0.09     0.21
     1    0.472    0.434     -0.220  0.010     2.15    -4.25    -0.09     0.21
 event,miss,iscat,jscat=           1           0         344         137
    -3   -0.453   -0.632     -0.143  0.199    -1.80    -1.33    -0.09     0.19
     2    0.525   -0.240     -0.858  0.006    -1.88    -1.29    -0.07     0.16
    -3   -0.484   -0.007     -0.278  0.199    -1.82    -1.35    -0.10     0.21
     2    0.556   -0.865     -0.723  0.006    -1.85    -1.30    -0.11     0.21
 event,miss,iscat,jscat=           1           0         394         239
     2    0.118   -0.080      0.112  0.006    -1.11    -3.49     0.09     0.19
     1   -0.657    0.470      0.275  0.010    -1.12    -3.59     0.10     0.18
     2    0.003    0.407      0.095  0.006    -1.10    -3.50     0.10     0.22
     1   -0.543   -0.018      0.292  0.010    -1.15    -3.57     0.12     0.22
 event,miss,iscat,jscat=           1           0         375         312
    -3    0.360   -0.269      0.091  0.199     2.72    -4.36    -0.07     0.19
     1   -0.066    0.157     -0.024  0.010     2.63    -4.47     0.08     0.19
    -3   -0.072   -0.061      0.180  0.199     2.74    -4.37    -0.06     0.22
     1    0.367   -0.052     -0.113  0.010     2.62    -4.44     0.07     0.22
 event,miss,iscat,jscat=           1           0         230         100
     2    0.061   -0.129      0.105  0.006     1.35     0.41     0.02     0.17
    -1    0.137    0.186      0.040  0.010     1.33     0.33     0.08     0.15
     2    0.067    0.118     -0.070  0.006     1.36     0.37     0.05     0.22
    -1    0.131   -0.060      0.215  0.010     1.37     0.38     0.09     0.22
 event,miss,iscat,jscat=           1           0         265          60
     2   -0.196    0.156      0.011  0.006     0.84     4.85     0.04     0.18
     3    0.681   -0.203      0.487  0.199     0.80     5.04     0.08     0.15
     2   -0.012    0.350      0.219  0.006     0.81     4.88     0.04     0.22
     3    0.497   -0.398      0.278  0.199     0.86     5.02     0.12     0.22
 event,miss,iscat,jscat=           1           0         368         151
    -2   -0.036    0.295     -0.295  0.006    -4.23    -3.93     0.02     0.19
     1   -0.254   -0.184      0.072  0.010    -3.99    -4.00    -0.04     0.16
    -2   -0.233    0.345     -0.267  0.006    -4.23    -3.91    -0.00     0.22
     1   -0.057   -0.235      0.044  0.010    -4.04    -4.03    -0.02     0.22
 event,miss,iscat,jscat=           1           0         402         384
     2    0.362   -0.398     -0.056  0.006     0.49    -0.04    -0.13     0.19
    -3   -0.160    0.103     -0.154  0.199     0.46    -0.10     0.04     0.19
     2   -0.056   -0.150      0.236  0.006     0.51    -0.06    -0.13     0.22
