           1         262
   157   140     2.4147    -0.4058    -3.1499     1.9592
   157   155     1.8324    -0.7957    -3.1499     2.7118
   161    60     1.8952     1.3329    -3.2760    -1.6089
   161    72     1.6000     1.3020    -3.2760    -1.0571
   161   105     2.0923     1.4902    -3.2760     0.5387
   161   113     1.6763     0.7579    -3.2760     0.8448
   161   118     1.1611     1.7932    -3.2760     1.0006
   162    43     2.2942    -2.8397    -3.4872    -2.9033
   162    86     2.4411    -2.4091    -3.4872    -0.4445
   162   157     1.8371    -2.5247    -3.4872     2.8189
   163    43     2.1516    -3.0878    -3.4956    -2.9033
   170    46     4.3898     0.0879    -3.8475    -2.7135
   171     7    -2.1099     2.1062    -3.9180    -5.5296
   171    17    -0.6786     2.3185    -3.9180    -3.9634
   171    93    -1.2447     3.6041    -3.9180    -0.1880
   171   194    -0.9323     2.1376    -3.9180     5.5599
   173    36     0.7079    -0.8035    -4.0091    -3.2359
   173   113     1.2010    -0.5685    -4.0091     0.8448
   174    36     0.7920    -0.2800    -4.0451    -3.2359
   174    54     1.1040     0.4916    -4.0451    -1.9768
   174    60     1.5040     0.5299    -4.0451    -1.6089
   174   113     1.2851    -0.0450    -4.0451     0.8448
   178    15     0.3883     0.8137    -4.2562    -4.1285
   178    54     1.2515     1.0267    -4.2562    -1.9768
   178    60     1.6515     1.0651    -4.2562    -1.6089
   178    72     1.3564     1.0342    -4.2562    -1.0571
   181     9     0.1181     1.9292    -4.4370    -4.6713
   181    17     0.1667     2.5797    -4.4370    -3.9634
   181    20     0.2939     2.8003    -4.4370    -3.8161
   181    48     0.1013     3.2676    -4.4370    -2.5419
   181    65     0.3211     2.3895    -4.4370    -1.4252
   181   105     1.4723     2.0770    -4.4370     0.5387
   181   115     0.5419     2.8468    -4.4370     0.8594
   181   179    -0.1470     4.0626    -4.4370     4.2754
   182    65     0.4941     2.6310    -4.5207    -1.4252
   182   115     0.7149     3.0883    -4.5207     0.8594
   182   150     0.3234     3.3662    -4.5207     2.5453
   182   158     0.6046     2.4315    -4.5207     2.8309
   182   194     0.0860     2.6403    -4.5207     5.5599
   183    10     0.5438    -2.5179    -4.5347    -4.4614
   183    30    -0.0424    -2.3002    -4.5347    -3.3461
   183    92     0.6016    -2.4190    -4.5347    -0.2552
   183   145    -0.4476    -2.7173    -4.5347     2.2894
   183   196     0.5188    -2.4717    -4.5347     7.5634
   185     6    -1.2695    -0.8896    -4.6858    -5.9078
   186    86     3.0235    -2.4218    -4.7442    -0.4445
   188     5     1.1372     0.1601    -4.9735    -5.9372
   188    54     1.1057     0.8417    -4.9735    -1.9768
   188    65     0.5517     1.3499    -4.9735    -1.4252
   188   118     0.7716     1.3403    -4.9735     1.0006
   190    86     2.3547    -1.9501    -5.2558    -0.4445
   190    87     1.9128    -2.3635    -5.2558    -0.4160
   191    46     3.7705     0.1139    -5.2737    -2.7135
   192   116     3.3425    -4.6342    -5.7263     0.8738
   193    36     0.4394    -0.8142    -5.7504    -3.2359
   193   157     0.6479    -1.7520    -5.7504     2.8189
   195    46     3.2697     0.7386    -6.4582    -2.7135
   195   140     2.7229     0.5422    -6.4582     1.9592
   197    39     1.3446     0.4150    -8.1110    -3.0695
   197    54     1.4698     0.8139    -8.1110    -1.9768
   197    60     1.8698     0.8523    -8.1110    -1.6089
   197    72     1.5746     0.8215    -8.1110    -1.0571
   197   140     2.1403     0.1891    -8.1110     1.9592
