      1      1   2775    3.8609      169 156  12 157   4 152      0.0000
   211   -0.276    0.339     -0.0973  0.140    -2.70     5.53    -0.23     1.80
   111   -0.254   -0.113     -0.0290  0.135    -4.66    -2.86     2.92     5.80
    22   -0.012   -0.003     -0.4892  0.000 0.28E+05 -.79E+04 -.54E+05 0.91E+05
  -211    0.073    0.416     -0.1732  0.140     5.13     4.55    -0.28     2.00
  -211   -0.039    0.195      0.0335  0.140    -1.85     7.67     0.34     2.00
   211    0.098    0.409     -0.1696  0.140     5.12     9.70    -2.79     8.60
   211   -0.060    0.084      0.0690  0.140     4.06    10.94    -0.04    10.40
   211   -0.091    0.208      0.0085  0.140     0.16     7.07    -1.41     2.20
   111    0.100    0.547      0.0828  0.135     3.19     5.87     0.50     3.00
  -211    0.265    0.361      0.1280  0.140     3.18     6.58     0.69     2.00
    22    0.090    0.153      0.4407  0.000    -2.98     0.74     1.86     2.00
  -211    0.057    0.199     -0.0574  0.140    -0.14     9.46    -9.02    14.80
   211    0.362   -0.286     -0.4945  0.140     4.99    -7.64    -0.96     2.40
   211   -0.278   -0.250      0.1228  0.140    -7.16    -3.72     3.17     7.80
   111    0.154   -0.413     -0.2467  0.135     3.76    -4.18    -3.19     4.60
   111   -0.145    0.109     -0.4707  0.135    -2.74     4.21    -4.72    11.20
   211    0.331   -0.310      0.1966  0.140     9.93   -12.77     9.98    24.00
  -211    0.259    0.287      0.3433  0.140     2.99     5.88     1.00     2.00
    22   -0.162    0.292      0.4918  0.000 0.13E+05 0.29E+06 0.23E+06 0.42E+06
   111   -0.297    0.057     -0.1207  0.135    -6.53     1.16     1.44     5.80
  -211   -0.552    0.061      1.2554  0.140    -3.73    -1.81     6.60     7.00
   211    0.129   -0.055     -1.5339  0.140     5.38     3.32    -3.44     3.80
   111   -0.293    0.293     -0.0476  0.135    -8.60     2.79     0.65     5.80
  -211    0.109    0.112      0.0384  0.140    -1.47     4.43    -1.22     9.80
  -211   -0.086    0.137     -1.1838  0.140    -2.81     0.96   -12.42    13.60
   111   -0.095    0.040     -0.0477  0.135    -4.32     2.48     6.46    11.80
   111    0.154    0.146      0.0004  0.135     8.64     2.00    -3.16     4.00
   111    0.208    0.228     -0.0766  0.135     3.85     5.10     1.74     4.60
   111   -0.194    0.073     -0.3439  0.135 -.21E+06 0.13E+06 -.89E+06 0.97E+06
   111   -0.102    0.181      0.1258  0.135    -7.10    -3.47     3.20     7.80
   111    0.010    0.107     -0.5436  0.135 -.21E+06 0.13E+06 -.89E+06 0.97E+06
   111   -0.029    0.142      4.1579  0.135     1.51     6.61    17.40    17.80
   111    0.202   -0.054      0.3362  0.135     2.83    -2.10     0.61    10.60
   111    0.096    0.165      0.0489  0.135     1.83     7.53     0.45     2.20
