           1           0         197         197   3.86094236    
     1.890     -5.360    63     3      1.099     0  2212
     6.802      0.823    64     3      0.911     0  2212
    -2.252     -4.364    65     3      0.908     0  2212
     3.492      0.913    66     3      0.890     0  2212
     6.859     -0.946    67     0      0.836  2212  2212
     0.628      1.688    68     3      0.785     0  2212
     6.633      0.120    69     0      0.778  2212  2212
     2.321      0.742    70     3      0.743     0  2212
     6.191     -4.683    71     0      0.681  2212  2212
     2.132     -3.153    72     1      0.679  2212  2212
     8.173      0.575    73     3      0.665     0  2212
     5.229     -2.500    74     0      0.664  2212  2212
     1.914     -1.911    75     2      0.643  2212  2212
     0.785     -0.163    76     3      0.619     0  2212
    -1.155      3.998    77     3      0.619     0  2212
    -2.092     -3.365    78     3      0.615     0  2212
     0.284     -5.318    79     3      0.608     0  2212
    -0.199     -5.145    80     3      0.597     0  2112
    -2.859      4.467    81     3      0.375     0  2112
     3.177      2.892    82     3      0.344     0  2212
     3.273     -0.083    83     3      0.290     0  2112
    -2.321     -0.710    84     3      0.286     0  2112
     4.945      3.092    85     3      0.124     0  2112
     2.093     -4.252    86     3      0.106     0  2112
     3.767      4.745    87     0      0.005  2112  2112
     5.999      0.696    88     3     -0.046     0  2112
     2.177      2.124    89     3     -0.152     0  2112
    -5.873     -0.736    90     3     -0.168     0  2112
    -2.478      1.437    91     3     -0.173     0  2112
     1.345     -6.270    92     3     -0.297     0  2112
     3.768      3.898    93     3     -0.307     0  2112
     7.704      0.163    94     0     -0.438  2112  2112
    -3.200     -0.050    95     3     -0.468     0  2112
     0.272      5.394    96     3     -0.481     0  2112
    -0.911      5.170    97     3     -0.494     0  2112
     5.435      5.213    98     0     -0.531  2112  2112
     0.950      6.006    99     3     -0.568     0  2212
     7.079      1.755   100     3     -0.598     0  2112
     7.513      3.864   101     0     -0.608  2112  2112
     5.055      5.809   102     0     -0.610  2112  2112
     4.096      2.733   103     1     -0.679  2112  2112
    -1.644      1.640   104     3     -0.729     0  2112
     1.203     -2.848   105     3     -0.776     0  2112
    -4.009     -3.875   106     3     -0.798     0  2112
    -5.867      2.262   107     3     -0.823     0  2112
     2.617     -4.367   108     3     -0.902     0  2112
     9.433     -1.832   109     0     -0.905  2112  2112
    -2.271      3.050   110     3     -0.958     0  2112
     3.699     -6.641   111     0     -0.994  2112  2112
    -3.524     -1.661   112     3     -1.019     0  2112
     5.698      4.535   113     3     -1.025     0  2212
     1.818      4.785   114     3     -1.029     0  2112
     3.098     -2.758   115     0     -1.032  2112  2112
     6.929      2.868   116     3     -1.038     0  2112
     1.332      4.446   117     3     -1.186     0  2112
     1.460      6.556   118     3     -1.235     0  2112
     4.621     -5.488   119     3     -1.255     0  2112
     1.620     -5.316   120     3     -1.261     0  2112
    -2.489      2.180   121     3     -1.265     0  2112
     1.171      2.283   122     3     -1.268     0  2112
     5.941      0.397   123     0     -1.368  2112  2112
     0.617     -4.075   124     3     -1.425     0  2112
    -1.931     -1.256   125     3     -1.474     0  2112
     5.864     -5.272   126     0     -1.523  2112  2112
     0.776     -0.779   127     3     -1.630     0  2112
     3.971      1.100   128     3     -1.762     0  2112
     4.245     -6.361   129     3     -1.816     0  2112
     6.961      2.047   130     1     -1.822  2112  2112
    -1.049     -3.606   131     3     -1.834     0  2112
